stop_id,stop_name,stop_desc,stop_lat,stop_lon
1006398,LG133 TAMAN NURI INDAH,31,2.833833,101.606184
1006400,PERUSAHAAN OLAK LEMPIT,32,2.826847,101.609873
1006402,KOLEJ MARA BANTING,32,2.812737,101.624357
1006404,LG145 GENTING SANYEN (OPP),32,2.802827,101.653231
1002838,TAMAN LANGAT MURNI,32,2.799123,101.657588
1006406,LG146 APARTMENT LANGAT UTAMA,32,2.796264,101.660854
1006408,MITSUI,32,2.778686,101.678057
1006409,KLIA 2,JLN KLIA 2/1,2.745307,101.684533
1008290,KOMPLEKS TABUNG HAJI,JLN MASJID KLIA,2.788397,101.678793
1006407,LG147 APARTMENT LANGAT UTAMA,32,2.798963,101.657267
1006405,LG148 GENTING SANYEN,32,2.802627,101.653074
1006403,TADOM HILL,32,2.812211,101.624274
1006399,LG9 TAMAN NURI INDAH,31,2.833607,101.605377
1006397,LG10 KOMPLEKS NIAGA,31,2.834976,101.598232
1006395,LG11 KG OLAK LEMPIT (TIMUR),31,2.835518,101.594453
1006393,LG12 SK OLAK LEMPIT,31,2.836452,101.586649
1006391,LG13 PERUMAHAN TAMAN MERBAH,31,2.836806,101.582108
1006413,LG14 TAMAN MERBAH RIMBA,31,2.836925,101.579386
1006389,"LG15 TAMAN DESA IDAMAN,KG OLAK LEMPIT",31,2.837193,101.574031
1006386,LG17 KG OLAK LEMPIT (BARAT),31,2.835499,101.560656
1006384,LG18 KG SG MANGGIS,31,2.833268,101.554115
1006382,LG19 MAHKOTA INDUSTRIAL (OPP),31,2.831658,101.551535
1006380,LG21 KOMPLEKS PENGHULU MANGGIS,31,2.826558,101.540526
1006378,LG22 SMK SG MANGGIS (OPP),31,2.825643,101.537589
1006376,LG23 AIMPOINT PLAZA,31,2.823871,101.533347
1006374,LG25 SMK BANTING,31,2.821658,101.528247
1006372,LG26 SMK TELOK DATOK,JLN SULTAN ABDUL SAMAD,2.820041,101.524656
1006370,LG27 TAMAN SRI TELOK DATOK,JLN SULTAN ABDUL SAMAD,2.818938,101.521836
1006368,LG28 PEJABAT PERTANIAN (OPP),JLN SULTAN ABDUL SAMAD,2.817628,101.518756
1001782,AJ106 LRT AMPANG,JLN AMPANG,3.1512231111515,101.76044748293
1000492,KL91 CITIBANK / INTERCONTINENTAL HOTEL,JLN AMPANG,3.1602776153032,101.71730268036
1001518,(M) KL94 KLCC (UTARA),JLN AMPANG,3.158876,101.712331
1009130,PARK & RIDE LRT AMPANG,,3.150269,101.760679
1001828,PJ445 LRT TAMAN JAYA,PERS BARAT,3.103876,101.644993
1002556,PJ749 WISMA MCIS,PERS BARAT,3.1010266331046,101.64223527584
1001785,(M) PJ437 LRT ASIA JAYA,JLN UTARA,3.1038828935882,101.63914593158
1002012,PJ716 MENARA AMFIRST,JLN HARAPAN,3.118122,101.629172
1000836,PJ312 MEDAN SELERA SEKSYEN 19,JLN 19/3,3.118849,101.628699
1000980,PJ313 KOMERSIAL SEKSYEN 19,JLN 19/8,3.1182813451754,101.62627247048
1006038,PJ771 KOMERSIAL SS2 (PUBLIC BANK),JLN SS 2/75,3.120713,101.621792
1001276,PJ347 KOMERSIAL SS2 (POH KONG),JLN SS 2/55,3.1172538268936,101.62088640147
1900004,SS2,,3.116222,101.622244
1000204,PJ712 BALAI POLIS SEAPARK,JLN SS 2/24,3.117036,101.623111
1002865,PJ349 MEDAN SELERA SEKSYEN 19,JLN SS 19/8,3.119018,101.628689
1003538,PJ211 FLAT SEKSYEN 17 (SELATAN),JLN UNIVERSITI,3.118937,101.633375
1004190,PJ212 JAYA ONE MALL (OPP),JLN UNIVERSITI,3.118939,101.635496
1002675,PJ237 PUSAT ASASI UIA (SELATAN),JLN PROF DIRAJA UNGKU AZIZ,3.118802,101.639562
1001955,PJ238 MASJID KOLEJ ISLAM,JLN PROF UNGKU AZIZ,3.118732,101.640579
